Questions,Yes,No,Clarification,Unique Identifier
Does your organisation stop any profiling of a child that is related to direct marketing if they ask you to?,1 Line down,1 Line down,,155confrim stop profilling
"When considering marketing to children, you take into account their reduced ability to recognise and critically assess the purposes behind the processing and the potential consequences of providing their personal data.",1 Line down,1 Line down,,156confirm marketing child's PD
Does your organisation take into account sector specific guidance on marketing to make sure that children’s personal data is not used in a way that might lead to their exploitation?,1 Line down,1 Line down,,157confirm take guidance into account
Does your organisation stop processing a child’s personal data for the purposes of direct marketing if they ask you to?,1 Line down,1 Line down,,158confirm stop PD for marketing
Does your organisation comply with the direct marketing requirements of the Privacy and Electronic Communications Regulations (PECR)?,1 Line down,1 Line down,,159confirm comply with marketing
"If you decide not to offer your ISS (online service) directly to children, then you mitigate the risk of them gaining access, using measures that are proportionate to the risks inherent in the processing?",1 Line down,1 Line down,,160confirm not offer ISS
"When offering ISS to UK children on the basis of consent, you make reasonable efforts (taking into account the available technology and the risks inherent in the processing) to ensure that anyone who provides their own consent is at least 13 years old?",1 Line down,1 Line down,,161provide 13 years old
"When offering ISS to UK children on the basis of consent, you
obtain parental consent to the processing for children who are under the age of 13, and make reasonable efforts (taking into account the available technology and risks inherent in the processing) to verify that the person providing consent holds parental responsibility for the child?",1 Line down,1 Line down,,162provide effort
When targeting wider European (non UK) markets you comply with the age limits applicable in each member state?,1 Line down,1 Line down,,163confirm age limits
You regularly review available age verification and parental responsibility verification mechanisms to ensure you are using appropriate current technology?,1 Line down,1 Line down,,164confirm review age verification
You do NOT seek parental consent when offering online preventive or counselling services to a child?,1 Line down,1 Line down,,165confirm not seek parental consent
"Does your organisation use cookies, web beacons or similar technologies?",1 Line down,9 Lines down,,166confirm cookies
Does your organisation provides users with a cookie policy?,1 Line down,1 Line down,,167confirm cookies policy
Does cookie policy explain that consent is being requested for the storage and access of cookies in and from the users’ terminal equipment?,1 Line down,1 Line down,,168confirm cookie explain
Is the cookie policy ensures consent valid by requiring a clear affirmative action from the user (e.g. pre-ticked boxes or inactivity do not constitute valid consent)?,1 Line down,1 Line down,,169confirm valid cookie
"The cookie policy fully explains the purpose, in plain language, of each cookie type being used.",1 Line down,1 Line down,,170confirm cookie explain the purpose
Does your organisation use ‘strictly necessary’ cookies (without which the end user would be unable to use the specific service explicitly requested)?,1 Line down,1 Line down,,171confirm use strictly necessary cookies
"Does you organisation Exclude 'strictly necessary' cookies, is consent obtained for each separate cookie purpose?",1 Line down,1 Line down,,172confirm exclude strictly necessary cookies
"Can your organisation evidence that the individual gave
their valid consent to the processing (e.g. how and when consent was obtained and the information provided to the individual (data subject) at the time)?",1 Line down,1 Line down,,173confirm evidence valid consent
Can the consent be withdrawn as easily as it was given (e.g. via the same electronic interface)?,1 Line down,1 Line down,,174confirm consent withdraw easily
Does your organisation use Bug reporting and Online tracking?,1 Line down,4 Lines down,,175confirm bug reporting
Does your organisation collect usage or bug report data (e.g. Google/Adobe Analytics)?,1 Line down,1 Line down,,176confirm collet bug report data
Is it collected with informed and valid consent of the user?,1 Line down,1 Line down,,177confirm informed consent of user
"Is it collected using fully anonymised data (e.g. no personal data, such as tracking data, is collected by you/your organisation or any third party?",1 Line down,1 Line down,,178confirm fully anonymised
Does your organisation use Appointment of a Data Protection Officer?,1 Line down,2 Lines down,,179confirm DPO
"Does your organisatin have a designated Data Protection Officer who is formally tasked with ensuring that you/your organisation is aware of, and complies with, its data protection responsibilities?",1 Line down,1 Line down,,180confirm have DPO
Is your product an application for a smartphone or tablet?,1 Line down,7 Lines down,,181confirm product a mobile devices
"Does your product access, process or store personal or sensitive personal data?",1 Line down,3 Lines down,,182confirm product processes PD
"Is your product an application for a smartphone or tablet AND accesses, processes or stores personal or sensitive personal data?",1 Line down,2 Lines down,,183confirm smart phone AND process PD
Is sensitive personal data persisted to the mobile device?,1 Line down,1 Line down,,184confirm persisted to mobile devices
Has a code-level security assessment been undertaken?,1 Line down,3 Lines down,,185confirm code-level security
Can your organisation evidence of the assessment report?,1 Line down,1 Line down,,186confirm evidence of code-level report
Has the security assessment been undertaken by an external body?,1 Line down,1 Line down,,187confirm by external body
Does the colour contrast of the text on your native app comply with WCAG 2.0 AA level requirements? All text in your product must have a contrast ratio of at least 4.5 : 1.?,1 Line down,1 Line down,,188confirm color
Did you follow the 6 key principles under the human- centred design process that conforms to the ISO 9241-210 Standard?,1 Line down,1 Line down,,189confirm follow 6 principles
"Can you give what phases did your human-centred design process go through? For example discovery, alpha, beta, go live?",1 Line down,1 Line down,,190rpovide phase of human-cnetred design
Can you give what user demographics were defined at the outset of your product's development?,1 Line down,1 Line down,,191provide user demographics
Can yo ugive what user research informed your user needs?,1 Line down,1 Line down,,192research informed user needs
"Can you list each user need your product addresses, and the acceptance criteria for each need?",1 Line down,1 Line down,,193provide product addresses
Can you give how many times were versions of your product tested with users?,1 Line down,1 Line down,,194provide times tested
Was your product evaluated for usability and accessibility before release?,1 Line down,4 Lines down,,195confirm test of usability and accessibility
"Throughout the evaluation of early versions and pre- release versions, can you give what changes were made to your product in light of the user feedback? ",1 Line down,1 Line down,,196provide user feedback
"Post-release, can you giev how do you continue to collect feedback from users and make changes to your product based on this feedback?",1 Line down,1 Line down,,197provide post release
Can you give what is your post-release schedule of improvements to your product?,1 Line down,1 Line down,,198provide schedule of improvement
Is your product a native iOS or Android app?,1 Line down,2 Lines down,,199IOS or Android
"Can you give what device OS accessibility features does your product use? For example VoiceOver (iOS), Dynamic Type (iOS), TalkBack (Android) or Select To Speak (Android)?",1 Line down,1 Line down,,200OS accessibility
Is your product a progressive web app?,1 Line down,3 Lines down,,201confirm progressive web app
"Does your product comply with the baseline checklist for progressive web apps, as defined by Google?",1 Line down,1 Line down,,202confirm comply with baseline
Have you conducted accessibility testing on your progressive web app?,1 Line down,1 Line down,,203confirm accessibility testing
Is your product a website?,1 Line down,8 Lines down,,204confirm website
Is your website responsive? ,1 Line down,1 Line down,,205confirm responsive
Does your website accessibility conform to WCAG 2.1 level AA?,1 Line down,1 Line down,,206confirm WCAG2.1
Does your website provide text equivalents for every non- text element within the product?,1 Line down,1 Line down,,207provide text equivalence
Have you conducted accessibility testing on your web service?,1 Line down,1 Line down,,208confirm testing on web
"Can your product be used with keyboard-only control, and with assistive technologies, such as screen readers and screen magnifiers?",1 Line down,1 Line down,,209confirm keyboard-only control
Does your website provide an accessibility statement?,1 Line down,2 Lines down,,210provide accessibility testing 
"Does your organisation provide evidence of this testing, including outcomes and any planned further changes to improve accessibility?",1 Line down,1 Line down,,211provide evidence imporving accessbility
Does your product expose any Application Programming Interfaces (APIs) or integration channels for other consumers?,1 Line down,2 Lines down,,212confirm expose API
Does your API adhere to the Government Digital Services (GDS) Open API Best Practices?,1 Line down,1 Line down,,213API adhere to GDS
Is your product capable of exporting data in a standard format?,1 Line down,1 Line down,,214capable in standard format
Is your product a wearable or device or integrates with them?,1 Line down,2 Lines down,,215confirm wearable device
Can you give evidence of how it complies with ISO/IEEE 11073 Personal Health Data (PHD) Standards?,1 Line down,1 Line down,,216provide evidence with ISO/IEEE
Are the source code and any configuration items for your product version controlled with all changes audited?,1 Line down,1 Line down,,217confirm source code controlled with audited
"Do you have accreditation to any industry wide testing standards such as ISO 9001, ISO 29119 etc?",1 Line down,1 Line down,,218confirm ISO 9001
What testing accreditation(s) do you have or are in the process of acquiring (including completion dates)?,1 Line down,1 Line down,,219confirm testing accreditation
Are all significant issues identified in all test phases resolved prior to release?,1 Line down,1 Line down,,220confirm issues in all tests
Can you rollback to previous versions of your product?,1 Line down,2 Lines down,,221confirm rollback
Can you provide a brief outline of your rollback process and provide documentation to support this.?,1 Line down,1 Line down,,222provide how rollback
Do you proactively monitor running of systems and system components to automatically identify faults and technical issues?,1 Line down,1 Line down,,223confirm monitor running of system
Do you have a documented roadmap for the future development of your product?,1 Line down,2 Lines down,,224confirm documented roadmap
"Can you provide details of planned development, technical updates and potential release dates?",1 Line down,1 Line down,,225confirm details of development
Do you have a documented roadmap for the future development of your product?,1 Line down,2 Lines down,,226confirm roadmap for future
Can you provide details of how you will ensure the continued availability of your product?,1 Line down,1 Line down,,227provide ensure availibility 
Do you have a plan for decommissioning your product?,1 Line down,4 Lines down,,228decommissioning
Can you describe your processes for decommissioning your product and dealing with any retained identifiable data?,1 Line down,1 Line down,,229provide decommissioning
Do you have a plan for dealing with any retained identifiable data in the event that an individual stops using your product? For example by uninstalling or unsubscribing?,1 Line down,1 Line down,,230provide identifiable data
Can you describe your processes for dealing with any retained identifiable data in the event that an individual stops using your product?,1 Line down,1 Line down,,231provide retained identifiable
Great! You’re all set! You can view suggested next steps by clicking on “Suggestions” in the navigation bar above.,The session has ended,The session has ended,,end
